index,genres,keywords,tagline,title,cast,director
0,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Enter the World of Pandora.,Avatar,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,Action Adventure Crime,spy based on novel secret agent sequel mi6,A Plan No One Escapes,Spectre,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,The Legend Ends,The Dark Knight Rises,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,Action Adventure Science Fiction,based on novel mars medallion space travel princess,"Lost in our world, found in another.",John Carter,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,The battle within.,Spider-Man 3,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,Animation Family,hostage magic horse fairy tale musical,They're taking adventure to new lengths.,Tangled,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,A New Age Has Come.,Avengers: Age of Ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Justice or revenge,Batman v Superman: Dawn of Justice,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
10,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,,Superman Returns,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
11,Adventure Action Thriller Crime,killing undercover secret agent british secret service,"For love, for hate, for justice, for revenge.",Quantum of Solace,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
13,Action Adventure Western,texas horse survivor texas ranger partner,Never Take Off the Mask,The Lone Ranger,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,You will believe that a man can fly.,Man of Steel,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
15,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
16,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,Some assembly required.,The Avengers,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
17,Adventure Action Fantasy,sea captain mutiny sword prime minister,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
18,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,They are back... in time.,Men in Black 3,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
19,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
20,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,The untold story begins.,The Amazing Spider-Man,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
21,Action Adventure,robin hood archer knight sherwood forest bow and arrow,"Rise and rise again, until lambs become lions.",Robin Hood,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
22,Adventure Fantasy,elves dwarves orcs hobbit dragon,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
23,Adventure Fantasy,england compass experiment lordship uncle,There are worlds beyond our own - the compass will show the way.,The Golden Compass,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
24,Adventure Drama Action,film business screenplay show business film making film producer,The eighth wonder of the world.,King Kong,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
25,Drama Romance Thriller,shipwreck iceberg ship panic titanic,Nothing on Earth could come between them.,Titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
26,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Divided We Fall,Captain America: Civil War,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
27,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,The Battle for Earth Begins at Sea,Battleship,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
28,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,The park is open.,Jurassic World,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,
29,Action Adventure Thriller,spy secret agent sociopath killer art gallery,Think on your sins.,Skyfall,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
30,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,There's a hero in all of us.,Spider-Man 2,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
31,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Unleash the power behind the armor.,Iron Man 3,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
32,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,You're invited to a very important date.,Alice in Wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
33,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,Take a Stand,X-Men: The Last Stand,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
34,Animation Family,monster dormitory games animation best friend,School never looked this scary.,Monsters University,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
35,Science Fiction Action Adventure,egypt sun chaos symbol artifact,Revenge is coming.,Transformers: Revenge of the Fallen,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
36,Science Fiction Action Adventure,sequel alien transformers giant robot robot,This is not war. It's extinction.,Transformers: Age of Extinction,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
37,Fantasy Adventure Family,circus witch magic hope illusion,"In Oz, nothing is what it seems",Oz: The Great and Powerful,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
38,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,No more secrets.,The Amazing Spider-Man 2,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
39,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,The Game Has Changed.,TRON: Legacy,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
40,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Ka-ciao!,Cars 2,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
41,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,"In our darkest hour, there will be light.",Green Lantern,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
42,Animation Family Comedy,hostage college toy barbie animation,No toy gets left behind.,Toy Story 3,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
43,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,The End Begins.,Terminator Salvation,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
44,Action,car race speed revenge suspense car,Vengeance Hits Home,Furious 7,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
45,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,Remember Philly!,World War Z,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
46,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,"To save the future, they must alter the past",X-Men: Days of Future Past,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
47,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Earth Will Fall,Star Trek Into Darkness,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
48,Action Family Fantasy,based on fairy tale giant,Prepare for a giant adventure,Jack the Giant Slayer,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
49,Drama Romance,based on novel infidelity obsession hope 3d,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
50,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Defy the Future,Prince of Persia: The Sands of Time,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
51,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,"To Fight Monsters, We Created Monsters",Pacific Rim,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
52,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
53,Adventure Action,saving the world riddle whip treasure mexico city,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
54,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,Little Arms With Big Attitude,The Good Dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
55,Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Change your fate.,Brave,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
56,Action Adventure Science Fiction,sequel stranded hatred space opera,,Star Trek Beyond,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
57,Animation Family,romantic comedy,An adventure beyond the ordinar-E.,WALL·E,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
58,Action Comedy Crime Thriller,ambassador,The Rush Is On!,Rush Hour 3,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
59,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,We Were Warned.,2012,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
60,Animation Drama,holiday based on novel victorian england money christmas eve,Season's Greedings,A Christmas Carol,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
61,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Expand your universe.,Jupiter Ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
62,Action Adventure,africa feral child tarzan jungle animal attack,Human. Nature.,The Legend of Tarzan,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
63,Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
64,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,Only the strong will survive,X-Men: Apocalypse,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
65,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,Why So Serious?,The Dark Knight,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
66,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,,Up,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
67,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,"When aliens attack, monsters fight back.",Monsters vs Aliens,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
68,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Heroes aren't born. They're built.,Iron Man,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
69,Adventure Drama Family,library clock film director key toy,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
70,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,It's a whole new west.,Wild Wild West,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
71,Adventure Action Fantasy,,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
72,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Worst Heroes Ever,Suicide Squad,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
73,Fantasy Comedy Family,father son relationship daily life married couple support father,A comedy of biblical proportions,Evan Almighty,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
74,Action Science Fiction,deja vu time warp restart dystopia war,"Live, Die, Repeat",Edge of Tomorrow,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
75,Adventure Action,ocean tattoo mutant water dystopia,Beyond the horizon lies the secret to a new beginning.,Waterworld,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
76,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
77,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Meet the little voices inside your head.,Inside Out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
78,Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,,The Jungle Book,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
79,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
80,Adventure Fantasy Drama,queen magic fairy tale immortality forest,The Fairytale is Over,Snow White and the Huntsman,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
81,Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Don't believe the fairy tale.,Maleficent,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
82,Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,One last chance for peace.,Dawn of the Planet of the Apes,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
83,Action Adventure Science Fiction Romance,,Love is longer than life.,The Lovers,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
84,Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,For courage. For loyalty. For honor.,47 Ronin,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
